File,codigo_web_1.100.0.26245.txt,vscode_web_1.128.0-exploration.txt,vscode_web_1.135.0.txt,vscode_web_1.136.0-insider.txt
extensions/markdown-language-features/markdown-editor-out/chunk-JBQZ5UCE.js,Y,,Y,Y
extensions/markdown-language-features/markdown-editor-out/chunk-JDBNYPCC.js,,,Y,
extensions/markdown-language-features/markdown-editor-out/chunk-JFI5BOLY.js,Y,,,Y
extensions/markdown-language-features/markdown-editor-out/chunk-JXCTOEX6.js,Y,,,Y
extensions/markdown-language-features/markdown-editor-out/chunk-K2JFJOPP.js,Y,,,Y
extensions/markdown-language-features/markdown-editor-out/chunk-KCFSBXDE.js,,,Y,
extensions/markdown-language-features/markdown-editor-out/chunk-KU3KRRIP.js,,,Y,
extensions/markdown-language-features/markdown-editor-out/chunk-L2G44QBV.js,,,Y,
extensions/markdown-language-features/markdown-editor-out/chunk-LGOKT4X5.js,,,Y,
extensions/markdown-language-features/markdown-editor-out/chunk-LK6KML2S.js,Y,,,Y
extensions/markdown-language-features/markdown-editor-out/chunk-MI7L3JDQ.js,,,Y,
extensions/markdown-language-features/markdown-editor-out/chunk-MNHOAW4R.js,Y,,,Y
extensions/markdown-language-features/markdown-editor-out/chunk-MX6DGWIA.js,,,Y,
extensions/markdown-language-features/markdown-editor-out/chunk-NLCJ5AKJ.js,Y,,,Y
extensions/markdown-language-features/markdown-editor-out/chunk-ODJ5ZGAE.js,,,Y,
extensions/markdown-language-features/markdown-editor-out/chunk-OOJM4CTU.js,Y,,Y,Y
extensions/markdown-language-features/markdown-editor-out/chunk-OQIZJQUY.js,,,Y,
extensions/markdown-language-features/markdown-editor-out/chunk-ORJ3II5F.js,,,Y,
extensions/markdown-language-features/markdown-editor-out/chunk-OX3BH5OR.js,,,Y,
extensions/markdown-language-features/markdown-editor-out/chunk-PKRYIESI.js,,,Y,
extensions/markdown-language-features/markdown-editor-out/chunk-R7CM4BQN.js,Y,,,Y
extensions/markdown-language-features/markdown-editor-out/chunk-RBL2QVA3.js,Y,,,Y
extensions/markdown-language-features/markdown-editor-out/chunk-SNGMH3JW.js,Y,,,Y
extensions/markdown-language-features/markdown-editor-out/chunk-SVS6VOAY.js,,,Y,
extensions/markdown-language-features/markdown-editor-out/chunk-TCSUPM5X.js,,,Y,
extensions/markdown-language-features/markdown-editor-out/chunk-TGD3YKTU.js,Y,,,Y
extensions/markdown-language-features/markdown-editor-out/chunk-TGYBLZFN.js,Y,,,Y
extensions/markdown-language-features/markdown-editor-out/chunk-U3E5RSXE.js,Y,,,Y
extensions/markdown-language-features/markdown-editor-out/chunk-U7TCJVVP.js,Y,,,Y
extensions/markdown-language-features/markdown-editor-out/chunk-UJGYKXFV.js,,,Y,
extensions/markdown-language-features/markdown-editor-out/chunk-VBOJ6TJX.js,,,Y,
extensions/markdown-language-features/markdown-editor-out/chunk-VG7CIE7S.js,,,Y,
extensions/markdown-language-features/markdown-editor-out/chunk-WIPFUQZE.js,,,Y,
extensions/markdown-language-features/markdown-editor-out/chunk-WSHCWW4Q.js,Y,,,Y
extensions/markdown-language-features/markdown-editor-out/chunk-WVYKIHVG.js,Y,,,Y
extensions/markdown-language-features/markdown-editor-out/chunk-XCMS6RVA.js,Y,,,Y
extensions/markdown-language-features/markdown-editor-out/chunk-XDY7PRES.js,,,Y,
extensions/markdown-language-features/markdown-editor-out/chunk-XM54GAH3.js,Y,,,Y
extensions/markdown-language-features/markdown-editor-out/chunk-YICKNY6Y.js,Y,,,Y
extensions/markdown-language-features/markdown-editor-out/chunk-YKM3JX66.js,,,Y,
extensions/markdown-language-features/markdown-editor-out/chunk-YNKYB66X.js,Y,,Y,Y
extensions/markdown-language-features/markdown-editor-out/chunk-ZIJQPUA2.js,,,Y,
extensions/markdown-language-features/markdown-editor-out/chunk-ZMBQGVIF.js,Y,,,Y
extensions/markdown-language-features/markdown-editor-out/chunk-ZNREFWKG.js,Y,,,Y
extensions/markdown-language-features/markdown-editor-out/chunk-ZU7JKVUR.js,Y,,,Y
extensions/markdown-language-features/markdown-editor-out/chunk-ZYRITDEB.js,Y,,,Y
extensions/markdown-language-features/markdown-editor-out/classDiagram-4FO5ZUOK-IAYUKKLW.js,,,Y,
extensions/markdown-language-features/markdown-editor-out/classDiagram-DTDB5LWJ-TBJLBGTZ.js,Y,,,Y
extensions/markdown-language-features/markdown-editor-out/classDiagram-v2-JRS7N3AN-ZLPCSYKA.js,Y,,,Y
extensions/markdown-language-features/markdown-editor-out/classDiagram-v2-Q7XG4LA2-3Q62ST3I.js,,,Y,
extensions/markdown-language-features/markdown-editor-out/codicon-B3TTTKGI.ttf,,,Y,
extensions/markdown-language-features/markdown-editor-out/codicon-R6HEZFPR.ttf,Y,,,Y
extensions/markdown-language-features/markdown-editor-out/cose-bilkent-JH36ORCC-7TCRTQWC.js,Y,,,Y
extensions/markdown-language-features/markdown-editor-out/cose-bilkent-S5V4N54A-ST6KIQ5D.js,,,Y,
extensions/markdown-language-features/markdown-editor-out/cynefin-OW5HDTMX-QMEUXFXO.js,Y,,,Y
extensions/markdown-language-features/markdown-editor-out/cynefinDiagram-5FMLGOSQ-J745EYTI.js,Y,,,Y
extensions/markdown-language-features/markdown-editor-out/dagre-3AP2YEHR-CUFPL4A5.js,Y,,,Y
extensions/markdown-language-features/markdown-editor-out/dagre-BM42HDAG-WWU3GZJK.js,,,Y,
extensions/markdown-language-features/markdown-editor-out/diagram-2AECGRRQ-UY3NFU3C.js,,,Y,
extensions/markdown-language-features/markdown-editor-out/diagram-5GNKFQAL-RLHVSUI3.js,,,Y,
extensions/markdown-language-features/markdown-editor-out/diagram-KO2AKTUF-2G55UY2J.js,,,Y,
extensions/markdown-language-features/markdown-editor-out/diagram-LMA3HP47-MOLJORYL.js,,,Y,
extensions/markdown-language-features/markdown-editor-out/diagram-OG6HWLK6-D6SSHKMM.js,,,Y,
extensions/markdown-language-features/markdown-editor-out/diagram-S7CK7UJ4-SC5AFKXH.js,Y,,,Y
extensions/markdown-language-features/markdown-editor-out/diagram-UQ7AKVKN-3O7WQJXE.js,Y,,,Y
extensions/markdown-language-features/markdown-editor-out/diagram-VSXAHHWV-SN3VCCS5.js,Y,,,Y
extensions/markdown-language-features/markdown-editor-out/diagram-VX7I27RA-7PQJWMN5.js,Y,,,Y
extensions/markdown-language-features/markdown-editor-out/diagram-Z3DM3KII-QZ45TJFK.js,Y,,,Y
extensions/markdown-language-features/markdown-editor-out/ebnfDiagram-PWID7BFC-CBJPGG56.js,Y,,,Y
extensions/markdown-language-features/markdown-editor-out/erDiagram-SSCWMZ5O-TUKYG42P.js,Y,,,Y
extensions/markdown-language-features/markdown-editor-out/erDiagram-TEJ5UH35-IVIXTLV2.js,,,Y,
extensions/markdown-language-features/markdown-editor-out/eventmodeling-FCH6USID-HEEL6N2M.js,,,Y,
extensions/markdown-language-features/markdown-editor-out/eventmodeling-NTZA5JFV-MGOPW7BD.js,Y,,,Y
extensions/markdown-language-features/markdown-editor-out/flowDiagram-A5DVABFB-M6K5X26V.js,Y,,,Y
